School ID,Institution me,Median Graduate Debt,Number of Undergraduates
2941,Kent State University at Salem,26225,1713
2942,Kent State University at Kent,26225,22071
2943,Kent State University at Geauga,26225,2407
2944,Kenyon College,18304.5,1694
2945,Kettering College,26999,783
2946,Lake Erie College,27000,839
2953,Lourdes University,32650,1747
2954,Malone University,25500,1571
2955,Marietta College,27000,1390
2958,Mercy College of Ohio,23600,1192
2959,Methodist Theological School in Ohio,,
2960,Miami University-Hamilton,25000,3421
2961,Miami University-Middletown,25000,1765
2962,Miami University-Oxford,25000,15378
2966,Mount Carmel College of Nursing,19500,947
2967,University of Mount Union,27000,2056
2968,Mount Vernon zarene University,26493,1774
2969,College of Mount St Joseph,32000,1655
2971,Muskingum University,27000,1641
2979,Notre Dame College,27000,1792
2980,Northeast Ohio Medical University,3025,
2981,University of Northwestern Ohio,21084,4104
2982,Oberlin College,25217,2894
2985,Ohio Dominican University,29754.5,1483
2987,Ohio Northern University,27000,2205
2989,Ohio State University-Lima Campus,22250,1008
2990,Ohio State University-Mansfield Campus,22250,1121
2991,Ohio State University-Marion Campus,22250,1192
2992,Ohio State University-Newark Campus,22250,2205
2997,Ohio State University-Main Campus,22250,43139
3002,Ohio University-Main Campus,22500,23331
3006,Ohio Wesleyan University,27000,1817
3007,Otterbein University,27000,2436
3011,Payne Theological Semiry,,
3012,Pontifical College Josephinum,,135
3015,Rabbinical College Telshe,,56
3018,University of Rio Grande,20000,1419
3020,Shawnee State University,23666,4110
3033,Franciscan University of Steubenville,25000,2055
3035,Ohio Mid-Western College,,139
3038,Tiffin University,26564.5,3309
3039,University of Toledo,24994,15440
3041,Tri-State Bible College,,59
3044,Trinity Lutheran Semiry,,
3046,Union Institute & University,18750,1217
3047,United Theological Semiry,,
3049,Urba University,27000,1008
3050,Ursuline College,29250,798
3053,Walsh University,27000,2280
3056,Wilberforce University,29750,463
3057,Wilmington College,27000,1163
3058,Winebrenner Theological Semiry,,
3059,Wittenberg University,27000,1891
3060,The College of Wooster,25500,2070
3061,Wright State University-Main Campus,25187,12161
3062,Wright State University-Lake Campus,25187,926
3063,Xavier University,27000,4452
3064,ITT Technical Institute-Youngstown,25833.5,472
3065,Youngstown State University,28000,11613
3067,Bacone College,24398,891
3068,Oklahoma Wesleyan University,23166,1110
3069,Southern zarene University,18750,1694
3072,Cameron University,18602.5,5043
3075,University of Central Oklahoma,22250,15119
3078,East Central University,19500,3757
3083,Hillsdale Free Will Baptist College,17500,195
3085,Langston University,30201,2062
3087,Spartan College of Aeroutics and Technology,21000,817
3088,Northeastern State University,18471,7215
3092,Northwestern Oklahoma State University,15000,2005
3093,Oklahoma State University Center for Health Sciences,,
3094,Oklahoma Christian University,25250,1949
3095,University of Oklahoma-Health Sciences Center,20000,818
3096,Oklahoma Panhandle State University,18154,1238
3097,Oklahoma State University-Main Campus,20500,20314
3098,Oklahoma State University-Oklahoma City,15816,6529
3099,Oklahoma Baptist University,24896,1882
3101,Oklahoma City University,24168,1954
3102,University of Oklahoma-Norman Campus,20000,20528
3104,Oklahoma State University Institute of Technology,12700,2841
3105,Oral Roberts University,27000,2884
3108,Rogers State University,19000,3957
3110,Saint Gregory's University,25250,624
3112,University of Science and Arts of Oklahoma,19591.5,864
3115,Southeastern Oklahoma State University,16443,3363
3116,Southwestern Christian University,23316,801
3117,Southwestern Oklahoma State University,16759,3985
3120,University of Tulsa,25000,3394
3129,The Art Institute of Portland,35287,1348
3138,Concordia University-Portland,26740,1378
3141,Eastern Oregon University,22500,3422
3143,New Hope Christian College-Eugene,24711,179
3144,George Fox University,22000,2358
3146,ITT Technical Institute-Portland,25833.5,605
3148,Lewis & Clark College,22389.5,1985
3149,Linfield College-McMinnville Campus,25000,1641
3152,Marylhurst University,31831,672
3155,Mount Angel Semiry,,70
3157,Multnomah University,25000,438
3158,tiol College of tural Medicine,,
3160,Northwest Christian University,24229.5,478
3161,Oregon Health & Science University,15364.5,832
3162,Oregon Institute of Technology,26067,3443
3163,Oregon College of Art and Craft,35500,139
3164,Oregon State University,23166,22349
3165,University of Oregon,21535,20473
3166,Pacific Northwest College of Art,28700,413
3167,Pacific University,25750,1729
3174,Portland State University,24568.5,20085
3175,University of Portland,25000,3468
3176,Reed College,16098.5,1351
3179,Pioneer Pacific College,16340,1108
3181,Southern Oregon University,22804,4436
3185,Warner Pacific College,26643,501
3186,Corban University,24493,902
3189,Western Semiry,,
3190,Willamette University,23500,1970
3191,Western Oregon University,25000,5142
3192,University of Western States,6450,43
3196,Bryn Athyn College of the New Church,20850,269
3198,Albright College,28910,2333
3201,Allegheny College,28800,2126
3203,DeSales University,27000,2482
3205,Alvernia University,27000,2169
3208,The Art Institutes of York-PA,29879,462
3209,The Art Institute of Philadelphia,31000,2494
3211,The Art Institute of Pittsburgh,40022,1544
3213,Baptist Bible College & Semiry of Pennsylvania,16288.5,606
3215,Arcadia University,27000,2400
3216,Biblical Theological Semiry,,
3218,Bloomsburg University of Pennsylvania,25568,9245
3220,Bryn Mawr College,25000,1316
3221,Bucknell University,27000,3498
3226,Cabrini College,26000,1286
3227,California University of Pennsylvania,25000,6393
3228,Calvary Baptist Theological Semiry,,
3230,Carlow University,27000,1496
3231,Carnegie Mellon University,25000,5834
3232,Cedar Crest College,30575,1252
3233,Central Penn College,34302,1277
3234,Chatham University,21843.5,616
3235,Chestnut Hill College,27000,1510
3236,Cheyney University of Pennsylvania,31000,1178
3239,Clarion University of Pennsylvania,26000,5046
3243,Curtis Institute of Music,,122
3246,Delaware Valley College,26500,1774
3247,Dickinson College,21000,2352
3248,The Dickinson School of Law of the Pennsylvania State University,27000,
3250,Drexel University,26098,16257
3253,Duquesne University,27000,5944
3254,East Stroudsburg University of Pennsylvania,23955,6109
3255,Eastern University,26181.5,2458
3256,Edinboro University of Pennsylvania,27000,5756
3257,Elizabethtown College,27000,1808
3273,Evangelical Theological Semiry,,
3274,Faith Theological Semiry,,236
3276,Franklin and Marshall College,25000,2262
3277,Gannon University,27000,2697
3278,Geneva College,26484.5,1532
3279,Gettysburg College,22227,2520
3283,Gratz College,,9
3284,Gwynedd Mercy University,26000,2031
3287,Haverford College,13852.5,1187
3289,Holy Family University,27000,2018
3292,Immaculata University,26000,2452
3293,India University of Pennsylvania-Main Campus,27000,12405
3298,Juniata College,27000,1503
3299,Keystone College,26000,1550
3301,King's College,27000,1987
3303,Kutztown University of Pennsylvania,26000,8538
3304,La Roche College,25000,1344
3305,La Salle University,27000,4228
3307,Lafayette College,24338,2452
3308,Lancaster Bible College,18750,1212
3309,Lancaster Theological Semiry,,
3313,Lebanon Valley College,27000,1698
3316,Lehigh University,24750,4904
3320,Lincoln University of Pennsylvania,33830,1614
3321,Lock Haven University,27000,4783
3323,Lutheran Theological Semiry at Gettysburg,,
3324,Lutheran Theological Semiry at Philadelphia,,
3326,Lycoming College,27000,1288
3329,Mansfield University of Pennsylvania,27000,2640
3330,Marywood University,27000,2034
3333,Mercyhurst University,25000,2679
3334,Messiah College,26856,2739
3336,Millersville University of Pennsylvania,25000,7313
3337,Misericordia University,27000,2362
3339,Moore College of Art and Design,27000,437
3340,Moravian College,27000,1508
3341,Mount Aloysius College,25000,1571
3342,Muhlenberg College,26941,2357
3344,Neumann University,27000,2462
3350,Salus University,4006,
3352,Pennsylvania State University-Penn State Erie-Behrend College,27000,3797
3353,Pennsylvania State University-Penn State Great Valley,27000,
3354,Pennsylvania State University-College of Medicine,27000,
3355,Pennsylvania State University-Penn State New Kensington,27000,615
3356,Pennsylvania State University-Penn State Shengo,27000,490
3357,Pennsylvania State University-Penn State Wilkes-Barre,27000,534
3358,Pennsylvania State University-Penn State Worthington Scranton,27000,1089
3359,Pennsylvania State University-Penn State Lehigh Valley,27000,788
3360,Pennsylvania State University-Penn State Altoo,27000,3779
3361,Pennsylvania State University-Penn State Beaver,27000,636
3362,Pennsylvania State University-Penn State Berks,27000,2573
3363,Pennsylvania State University-Penn State Harrisburg,27000,3461
3364,Pennsylvania State University-Penn State Brandywine,27000,1327
3365,Pennsylvania State University-Penn State Dubois,27000,591
3366,Pennsylvania State University-Penn State Fayette- Eberly,27000,762
3367,Pennsylvania State University-Penn State Hazleton,27000,918
3368,Pennsylvania State University-Main Campus,27000,39460
3369,Pennsylvania State University-Penn State Greater Allegheny,27000,588
3370,Pennsylvania State University-Penn State Mont Alto,27000,911
3371,Pennsylvania State University-Penn State Abington,27000,3231
3372,Pennsylvania State University-Penn State Schuylkill,27000,796
3373,Pennsylvania State University-Penn State York,27000,943
3375,Peirce College,39162.5,1754
3379,Pennsylvania Academy of the Fine Arts,26766,198
3383,Pennsylvania College of Art and Design,27000,222
3384,University of Pennsylvania,21500,10606
3385,Philadelphia University,27800,2791
3386,The University of the Arts,27000,1865
3387,Cairn University-Langhorne,27000,840
3388,Philadelphia College of Osteopathic Medicine,2000,
3389,University of the Sciences,27000,1830
3391,University of Pittsburgh-Bradford,26896.5,1456
3392,University of Pittsburgh-Greensburg,26896.5,1677
3393,University of Pittsburgh-Johnstown,26896.5,2837
3394,University of Pittsburgh-Pittsburgh Campus,26896.5,18304
3400,Pittsburgh Theological Semiry,,
3402,Point Park University,27000,3164
3407,Reconstructionist Rabbinical College,,
3408,Reformed Presbyterian Theological Semiry,,
3409,The Restaurant School at Walnut Hill College,16000,427
3411,Robert Morris University,27000,4459
3413,Rosemont College,28000,511
3414,Saint Francis University,,1665
3415,Saint Joseph's University,24250,5265
3416,Saint Vincent College,27000,1532
3417,Saint Vincent Semiry,27000,
3419,University of Scranton,27000,3834
3420,Seton Hill University,27000,1550
3424,Shippensburg University of Pennsylvania,26000,6493
3425,Slippery Rock University of Pennsylvania,25719.5,7544
3426,Saint Charles Borromeo Semiry-Overbrook,,53
3431,Susquehan University,25000,2138
3432,Swarthmore College,19000,1524
3434,Talmudical Yeshiva of Philadelphia,,124
3435,Temple University,25799,27511
3436,Thiel College,28000,1045
3437,Thomas Jefferson University,12500,664
3443,Trinity Episcopal School for Ministry,,
3444,Ursinus College,27000,1578
3445,Valley Forge Christian College,27000,767
3448,Villanova University,27000,6856
3451,Washington & Jefferson College,27000,1300
3452,Waynesburg University,27000,1559
3454,West Chester University of Pennsylvania,23811,13456
3457,Westminster College,27000,1313
3458,Westminster Theological Semiry,,
3460,Widener University-Main Campus,27800,3188
3461,Wilkes University,27000,2281
3462,Wilson College,27000,468
3464,York College Pennsylvania,26903,4847
3468,Brown University,16000,6182
3469,Bryant University,27000,3263
3470,Johnson & Wales University-Providence,27000,9067
3472,New England Institute of Technology,20000,2860
3475,Providence College,27000,3969
3476,Rhode Island College,22300,7253
3478,University of Rhode Island,23250,13008
3479,Rhode Island School of Design,26024.5,2005
3480,Roger Williams University,27000,4403
3481,Salve Regi University,27000,1989
3484,Northpoint Bible College,25000,358
3486,Allen University,37676,651
3487,Anderson University,27000,2381
3488,Charleston Southern University,28000,2904
3490,Benedict College,43515,2512
3491,Bob Jones University,19000,2755
3492,Southern Wesleyan University,30575,1314
3494,College of Charleston,22341,10150
3497,Citadel Military College of South Caroli,24211,2660
3498,Claflin University,30000,1803
3499,Clemson University,22388.5,16801
3501,Coker College,31750,1131
3502,Columbia Intertiol University,20500,574
3503,Columbia College,29527,995
3504,Converse College,27000,744
3506,Erskine College,27000,574
3509,Francis Marion University,31251,3380
3510,Furman University,24736.5,2777
3515,Lander University,26780,2750
3516,Limestone College,29250,3150
3517,Lenoir-Rhyne University-Lutheran Theological Southern Semiry,,
3518,Medical University of South Caroli,3000,205
3520,Morris College,30175,822
3521,Newberry College,27000,1032
3522,North Greenville University,20200,2068
3525,Presbyterian College,25000,1069
3526,University of South Caroli-Aiken,26000,2956
3527,University of South Caroli-Beaufort,24250,1716
3528,University of South Caroli-Columbia,22500,23987
3533,Coastal Caroli University,25000,8570
3534,South Caroli State University,37000,2876
3535,University of South Caroli-Upstate,23250,4952
3536,Sherman College of Straight Chiropractic,,
3543,Voorhees College,25000,536
3545,Winthrop University,27000,4704
3546,Wofford College,24000,1610
3548,Augusta College,27000,1615
3550,Black Hills State University,25950,3156
3552,Dakota State University,24933,1743
3553,Dakota Wesleyan University,26500,754
3558,Mount Marty College,28000,676
3559,tiol American University-Rapid City,34486,1913
3560,tiol American University-Sioux Falls,34486,658
3561,Sioux Falls Semiry,,
3562,Northern State University,25654.5,1758
3563,Oglala Lakota College,,1450
3564,Presentation College,25000,728
3566,South Dakota School of Mines and Technology,27100,2194
3567,South Dakota State University,25000,10048
3568,Sinte Gleska University,,550
3569,University of Sioux Falls,25000,1075
3574,University of South Dakota,24000,6449
3576,American Baptist College,22375,141
3577,Aquis College,25312,486
3580,Austin Peay State University,25000,9271
3581,Baptist Memorial College of Health Sciences,31424.5,1101
3582,Belmont University,23250,5465
3583,Bethel University,25000,5063
3584,Bryan College-Dayton,18750,1209
3585,Carson-Newman University,25500,1688
3587,Christian Brothers University,27000,1156
3588,Pentecostal Theological Semiry,,
3593,Cumberland University,22143,1198
3594,Lipscomb University,22125,2874
3596,Daymar Institute-shville,23658,141
3598,East Tennessee State University,20259,11399
3601,Emmanuel Christian Semiry,,
3603,Fisk University,27500,611
3604,Welch College,24375,270
3605,Freed-Hardeman University,26950,1290
3608,Hiwassee College,11500,222
3613,Johnson University,22620,826
3615,King University,20500,2121
3616,South College,31332,708
3618,Lane College,31478,1554
3619,Le Moyne-Owen College,,1009
3620,Lee University,28000,4143
3621,Lincoln Memorial University,18832,1632
3623,Martin Methodist College,22875,1144
3624,Maryville College,27000,1139
3627,Meharry Medical College,,
3628,Memphis College of Art,31500,367
3630,University of Memphis,26393.5,16178
3631,Memphis Theological Semiry,,
3632,Victory University,40625,2456
3633,Middle Tennessee State University,22170.5,20914
3634,Middle Tennessee School of Anesthesia Inc,,
3635,Milligan College,24100,933
3643,O'More College of Design,29500,179
3647,Rhodes College,27000,2012
3653,Sewanee-The University of the South,19500,1599
3661,Southern Adventist University,26266,2693
3662,Southern College of Optometry,,
3663,Tennessee Wesleyan College,21000,1068
3664,The University of Tennessee-Chattanooga,20500,10184
3665,The University of Tennessee-Knoxville,20338.5,20948
3666,The University of Tennessee-Martin,23750,6554
3667,Fountainhead College of Technology,20000,180
3669,Tennessee State University,28500,6669
3670,Tennessee Technological University,15625,9827
3671,Tennessee Temple University,22583,704
3672,Trevecca zarene University,18750,1448
3674,Tusculum College,27911,1844
3675,Union University,23438,2565
3677,Vanderbilt University,13750,6794
3683,Abilene Christian University,26237.5,3647
3689,Angelo State University,21594,5430
3690,Arlington Baptist College,21000,230
3692,The Art Institute of Houston,30500,2300
3693,Austin College,26000,1206
3695,Austin Presbyterian Theological Semiry,,
3698,Baptist Missiory Association Theological Semiry,,55
3699,Texas A & M University Health Science Center,19253,243
3700,Baylor College of Medicine,,
3701,Baylor University,25281,13221
3706,Brazosport College,7750,3217
3715,Concordia University-Texas,25500,1493
3718,Texas A & M University-Corpus Christi,22750,9137
3721,Dallas Baptist University,23430,3375
3722,Dallas Christian College,,316
3724,Dallas Theological Semiry,,
3725,University of Dallas,25640.5,1374
3728,East Texas Baptist University,23321,1132
3729,Texas A & M University-Texarka,12544.5,1391
3730,Texas A & M University-Commerce,21228,6951
3737,South University-The Art Institute of Dallas,27167,1408
3742,Hallmark College,19157,713
3743,Hardin-Simmons University,27000,1690
3746,Houston Baptist University,25000,2165
3747,University of Houston-Clear Lake,18000,4691
3749,University of Houston-Downtown,21000,13297
3750,University of Houston-Victoria,16844,2879
3751,University of Houston,20426,30357
3753,Howard Payne University,23412.5,1059
3754,Huston-Tillotson University,,924
3755,University of the Incarte Word,27000,6346
3758,ITT Technical Institute-Arlington,25833.5,612
3759,ITT Technical Institute-Houston West,25833.5,609
3761,Jarvis Christian College,34773.5,578
3764,Lamar University,23182,9175
3769,Texas A & M Intertiol University,14671.5,6560
3771,LeTourneau University,29250,2173
3774,Lubbock Christian University,24998,1466
3776,University of Mary Hardin-Baylor,26784,3006
3778,McMurry University,27000,1157
3781,Midland College,4500,3406
3782,Midwestern State University,23000,5192
3784,Wade College,28500,201
3793,University of North Texas,20750,31243
3795,Northwood University-Texas,23474.5,645
3796,Oblate School of Theology,,
3801,Our Lady of the Lake University,25250,1509
3802,The University of Texas-Pan American,12993.5,17200
3803,The University of Texas at Brownsville,17709,10379
3806,Paul Quinn College,,243
3807,Prairie View A & M University,29052,6731
3810,Rice University,8413,3920
3813,Saint Edward's University,25000,4077
3815,University of St Thomas,25000,1529
3816,Sam Houston State University,22224,16255
3819,Schreiner University,25200,1051
3821,St Mary's University,26685,2390
3824,South Texas College of Law,,
3827,Southern Methodist University,22500,6295
3831,Southwestern Assemblies of God University,26500,1669
3832,Southwestern University,26564.5,1528
3833,Stephen F Austin State University,25000,10715
3834,Texas State University,21714.5,31005
3835,Southwestern Adventist University,27000,715
3836,Southwestern Christian College,11000,169
3837,Sul Ross State University,16728,2000
3838,Tarleton State University,21500,11328
3841,University of Texas Southwestern Medical Center,,10
3842,The University of Texas Health Science Center at San Antonio,15755,793
3843,The University of Texas Medical Branch,15000,725
3846,Texas A & M University-Kingsville,20899,9400
3847,Texas A & M University-College Station,19253,43931
3848,The University of Texas at Arlington,19608,25415
3849,The University of Texas at Austin,22165,39323
3850,The University of Texas at Dallas,19500,13042
3851,The University of Texas at El Paso,18250,19527
3852,The University of Texas at Tyler,18486,5338
3853,Texas Chiropractic College Foundation Inc,,
3854,Texas Christian University,22500,8597
3855,Texas College,29788,945
3856,University of North Texas Health Science Center,,
3857,Texas Lutheran University,27305,1295
3858,The University of Texas of the Permian Basin,13750,2947
3859,The University of Texas at San Antonio,23723,23840
3861,Texas Southern University,33763,6288
3862,Texas Tech University,23246.5,26809
3864,Texas Wesleyan University,26000,1719
3865,Texas Woman's University,20923,9220
3866,Trinity University,21630,2127
3867,The University of Texas Health Science Center at Houston,18000,701
3870,Texas Tech University Health Sciences Center,12500,1346
3878,Wayland Baptist University,18750,4246
3880,West Texas A & M University,21500,6890
3883,Wiley College,31425,1388
3886,Brigham Young University-Provo,11000,27765
3887,Brigham Young University-Hawaii,10000,2664
3888,Broadview University-West Jordan,31502,221
3893,Dixie State University,21250,7305
3897,Eagle Gate College-Murray,19940,284
3898,ITT Technical Institute-Murray,25833.5,471
3900,Everest College-Salt Lake City,9500,404
3903,Southern Utah University,13250,5620
3904,Stevens-Heger College-Ogden,26336.5,320
3905,Stevens-Heger College of Business-Provo,26336.5,351
3907,Utah State University,13500,20775
3908,Utah Valley University,16500,24243
3910,University of Utah,15400,23273
3911,Weber State University,14599,17314
3912,Westminster College,24500,2260
3913,Bennington College,26900,613
3914,Burlington College,23480,199
3915,Castleton State College,25596,2022
3916,Champlain College,27000,2851
3918,Goddard College,19750,201
3919,Green Mountain College,25000,578
3920,Johnson State College,26268,1433
3921,Lyndon State College,26900,1363
3922,Marlboro College,26250,230
3923,Middlebury College,19500,2466
3924,New England Culiry Institute,18471,425
3925,Norwich University,27000,2432
3927,Saint Michael's College,27000,1941
3928,SIT Graduate Institute,,
3929,College of St Joseph,23863,158
3930,Southern Vermont College,25000,470
3931,Sterling College,16100,114
3932,Vermont Law School,,
3933,Vermont Technical College,16062,1361
3934,University of Vermont,21893.5,9970
3937,Averett University,26000,870
3939,Bluefield College,20625,821
3940,Bridgewater College,27000,1822
3941,College of William and Mary,20785.5,6235
3942,Regent University,26806.5,2286
3945,Christopher Newport University,25000,5083
3947,Bryant & Stratton College-Virginia Beach,24260.5,728
3948,Bryant & Stratton College-Richmond,24260.5,906
3949,Jefferson College of Health Sciences,24918.5,810
3952,Eastern Virginia Medical School,,
3953,Centura College-Virginia Beach,22250,477
3954,Emory & Henry College,27000,907
3955,Eastern Mennonite University,22348,1148
3957,Ferrum College,30920,1506
3958,George Mason University,20250,21324
3960,Hampden-Sydney College,27000,1070
3961,Hampton University,27474,3529
3962,Hollins University,27000,568
3964,James Madison University,20683.5,18127
3967,Liberty University,24750,47079
3968,Longwood University,25327,4357
3970,Lynchburg College,27000,2140
3972,Mary Baldwin College,27250,1307
3973,University of Mary Washington,22150,4303
3974,Marymount University,25000,2371
3977,American tiol University,26140,1804
3979,Sentara College of Health Sciences,20000,285
3981,Norfolk State University,31000,5955
3983,Old Dominion University,23867,19483
3989,Radford University,21500,8866
3991,Randolph-Macon College,27000,1294
3992,Randolph College,27000,651
3996,Bon Secours Memorial College of Nursing,27750,408
3997,University of Richmond,19500,3107
3999,Roanoke College,27000,1980
4001,Shendoah University,25000,1859
4002,Southern Virginia University,19715.5,658
4007,Strayer University-Virginia,39499.5,4837
4008,Sweet Briar College,26000,599
4011,Union Presbyterian Semiry,,
4012,The University of Virginia's College at Wise,20700,1585
4014,Virginia Intermont College,23730,352
4015,Virginia Polytechnic Institute and State University,25000,23928
4017,Virginia Commonwealth University,24750,22049
4018,University of Virginia-Main Campus,19500,15020
4019,Virginia Military Institute,23500,1675
4021,Virginia University of Lynchburg,35382,493
4022,Virginia State University,28451,5023
4023,Virginia Union University,31000,1359
4024,Virginia Wesleyan College,27000,1436
4026,Washington and Lee University,19500,1846
4027,Sanford-Brown College-Tysons Corner,20844.5,231
4032,The Art Institute of Seattle,27215,1573
4034,Bellevue College,12224,5684
4039,Central Washington University,21267,9958
4041,City University of Seattle,25000,1162
4045,Columbia Basin College,11000,5146
4046,Cornish College of the Arts,27000,775
4048,Eastern Washington University,20500,11672
4052,The Evergreen State College,17594,4017
4055,Gonzaga University,27000,4830
4059,Heritage University,26500,842
4063,ITT Technical Institute-Seattle,27833,444
4064,ITT Technical Institute-Spokane Valley,27833,297
4065,Bastyr University,22770,216
4068,Lake Washington Institute of Technology,16580.5,2227
4070,Trinity Lutheran College,24796,192
4075,Northwest University,24000,1354
4076,Olympic College,11000,4900
4078,Pacific Lutheran University,27000,3062
4079,Peninsula College,12992.5,1378
4080,University of Puget Sound,23500,2542
4082,Saint Martin's University,25000,1299
4083,Seattle Community College-South Campus,,2002
4084,Seattle Central College,,3116
4086,Seattle Pacific University,25000,3354
4087,Seattle University,25334,4595
4096,Walla Walla University,28250,1646
4097,Washington State University,20977,22825
4098,University of Washington-Seattle Campus,16326,28754
4101,Western Washington University,19500,13925
4103,Whitman College,15990,1525
4104,Whitworth University,26036.5,2337
4106,Alderson Broaddus University,29000,1032
4108,Appalachian Bible College,10030,204
4111,Bethany College,,690
4112,Bluefield State College,20500,1708
4115,University of Charleston,19375,1373
4117,Concord University,21500,2474
4118,Davis & Elkins College,23500,866
4119,Fairmont State University,23478,3856
4120,Glenville State College,27000,1413
4125,Marshall University,23804,9098
4133,Ohio Valley University,23000,394
4134,West Virginia University at Parkersburg,14405,3043
4135,Potomac State College of West Virginia University,23808,1378
4137,Salem Intertiol University,26875,441
4138,Shepherd University,23149,3695
4141,West Virginia School of Osteopathic Medicine,2000,
4142,West Virginia State University,23787.5,2195
4144,West Liberty University,24624,2412
4145,West Virginia University Institute of Technology,23808,1133
4146,West Virginia Wesleyan College,26000,1356
4152,West Virginia University,23808,22130
4153,Wheeling Jesuit University,27000,1139
4157,Alverno College,33110,1833
4158,Madison Area Technical College,14750,12863
4159,Bellin College,18282,285
4160,Beloit College,26500,1244
4162,Cardil Stritch University,27875,2680
4163,Carroll University,27000,3024
4164,Carthage College,27000,2874
4165,Columbia College of Nursing,18454.5,157
4166,Concordia University-Wisconsin,25153,4322
4167,Edgewood College,26975,1914
4172,ITT Technical Institute-Greenfield,25833.5,448
4173,Lakeland College,27000,2449
4175,Lawrence University,27050,1517
4176,Maratha Baptist University,18004,780
4177,Marian University,27000,1676
4178,Marquette University,27000,8190
4180,Medical College of Wisconsin,,
4183,Milwaukee Institute of Art & Design,27750,666
4184,Milwaukee School of Engineering,27000,2452
4186,Mount Mary University,30500,811
4187,shotah House,,
4191,Northland Intertiol University,13775,254
4192,Northland College,27000,546
4193,Ripon College,27000,883
4194,Sacred Heart School of Theology,,
4195,Saint Norbert College,,2128
4196,Silver Lake College of the Holy Family,30500,299
4199,Bryant & Stratton College-Milwaukee,24260.5,1051
4201,Viterbo University,27000,2052
4205,University of Wisconsin-Whitewater,25250,10438
4207,Wisconsin School of Professiol Psychology,,
4209,University of Wisconsin-Eau Claire,23250,10218
4210,University of Wisconsin-Green Bay,21711,5765
4211,University of Wisconsin-La Crosse,23203,9335
4212,Wisconsin Lutheran College,24634.5,1058
4213,University of Wisconsin-Oshkosh,23868,10633
4214,University of Wisconsin-Parkside,24250,4354
4215,Herzing University-Madison,22822,2435
4216,University of Wisconsin-Stout,24752.5,8094
4217,University of Wisconsin-Superior,23500,2415
4218,University of Wisconsin-Madison,23000,29504
4219,University of Wisconsin-Milwaukee,25107.5,21747
4220,University of Wisconsin-Platteville,24000,7740
4221,University of Wisconsin-River Falls,24700,5506
4222,University of Wisconsin-Stevens Point,25000,9150
4232,University of Wyoming,19000,9969
4233,American Samoa Community College,,1487
4235,University of Guam,,3488
4236,Northern Marias College,,1063
4239,American University of Puerto Rico,4000,850
4240,American University of Puerto Rico,4000,998
4243,Universidad Adventista de las Antillas,15000,1261
4244,Atlantic University College,5000,1365
4245,Bayamon Central University,7500,1654
4246,Columbia Centro Universitario-Caguas,,1680
4247,Carlos Albizu University-San Juan,18890,88
4248,Caribbean University-Bayamon,9000,1572
4249,Caribbean University-Caroli,9000,703
4250,Pontifical Catholic University of Puerto Rico-Arecibo,13095,594
4251,Pontifical Catholic University of Puerto Rico-Ponce,13095,5926
4252,Centro de Estudios Multidisciplirios-San Juan,2550,987
4253,Universidad Teologica del Caribe,,199
4254,Colegio Universitario de San Juan,,1387
4255,Universidad Metropolita,6699,11503
4256,Puerto Rico Conservatory of Music,7500,424
4257,Center for Advanced Studies On Puerto Rico and the Caribbean,,
4258,EDP University of Puerto Rico Inc-San Sebastian,15550,1195
4260,Escuela de Artes Plasticas de Puerto Rico,,529
4263,Humacao Community College,,705
4272,Inter American University of Puerto Rico-San German,8500,4308
4273,Inter American University of Puerto Rico-Aguadilla,8500,4203
4274,Inter American University of Puerto Rico-Arecibo,8500,4275
4275,Inter American University of Puerto Rico-Barranquitas,8500,2005
4276,Inter American University of Puerto Rico-Metro,8500,6844
4277,Inter American University of Puerto Rico-Ponce,8500,5353
4278,Inter American University of Puerto Rico-Fajardo,8500,2159
4279,Inter American University of Puerto Rico-Guayama,8500,2054
4280,Inter American University of Puerto Rico-Bayamon,8500,4681
4281,Inter American University of Puerto Rico-School of Law,8500,
4287,tiol University College-Bayamon,7533,4993
4288,tiol University College-Arecibo,7533,1646
4290,Ponce School of Medicine and Health Sciences,,
4291,University of Puerto Rico-Aguadilla,5500,2886
4292,University of Puerto Rico-Arecibo,4600,3654
4293,University of Puerto Rico-Bayamon,5500,4847
4294,University of Puerto Rico-Caroli,4957.5,3880
4295,University of Puerto Rico-Cayey,5000,3779
4296,University of Puerto Rico-Humacao,5000,3383
4297,University of Puerto Rico-Utuado,4625,1504
4298,University of Puerto Rico-Mayaguez,5500,10697
4299,University of Puerto Rico-Medical Sciences,5500,489
4300,University of Puerto Rico-Ponce,5500,3120
4301,University of Puerto Rico-Rio Piedras,5500,11834
4302,Universidad Del Este,6555,12287
4305,Universidad del Sagrado Corazon,16750,5097
4306,Semirio Evangelico de Puerto Rico,,
4307,Universidad Central Del Caribe,5187.5,144
4308,Universidad Politecnica de Puerto Rico,16648,3840
4309,Pontifical Catholic University of Puerto Rico-Mayaguez,13095,1369
4310,Universidad Del Turabo,6648,14556
4313,University of the Virgin Islands,12150,2023
4314,Stanford University,12224,6980
4315,Purdue University-Main Campus,23766,30167
4317,Parker University,7812,157
4318,EDP Univeristy of Puerto Rico Inc-San Juan,15550,1272
4320,ITT Technical Institute-Sylmar,25833.5,557
4321,ITT Technical Institute-Westminster,25833.5,218
4322,Widener University-Delaware Campus,27800,105
