School ID,Institution me,Median Graduate Debt,Number of Undergraduates
705,Delaware State University,29000,3719
706,University of Delaware,24126.5,17729
707,Goldey-Beacom College,24375,548
709,Wesley College,30750,1481
710,Wilmington University,18192,8475
711,American University,23500,6829
712,Catholic University of America,26000,3641
713,Corcoran College of Art and Design,27000,275
714,University of the District of Columbia,20000,4487
715,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,,
716,Gallaudet University,16320.5,1053
717,George Washington University,25175,10121
718,Georgetown University,17500,7261
719,Howard University,27000,6855
721,Strayer University-District of Columbia,39499.5,871
723,Trinity Washington University,30375,1810
724,Wesley Theological Semiry,,
726,The Art Institute of Fort Lauderdale,31945,1924
728,The Baptist College of Florida,19188,499
729,Barry University,29884,4284
730,Gooding Institute of Nurse Anesthesia,,
731,Bethune-Cookman University,35650,3723
732,Lynn University,19500,1732
736,Broward College,7000,39162
738,Carlos Albizu University-Miami,18890,263
739,College of Central Florida,10626,7113
740,Johnson University Florida,23543,299
741,University of Central Florida,18500,50919
743,Chipola College,5812,1635
744,Clearwater Christian College,19375,491
746,Dayto State College,9323,12993
747,South University-West Palm Beach,27167,972
748,Eckerd College,27000,2163
749,Edison State College,9750,12850
750,Edward Waters College,31959,862
751,Embry-Riddle Aeroutical University-Dayto Beach,26000,4666
752,Florida Agricultural and Mechanical University,27274.5,8825
753,Florida Atlantic University,17250,24685
754,Florida State College at Jacksonville,9000,25018
755,Flagler College-St Augustine,23638,2839
756,Florida College,12000,558
760,Adventist University of Health Sciences,20730,2064
761,Florida Institute of Technology,26158,3191
763,Florida Intertiol University,17750,38234
765,Florida Memorial University,44500,1517
766,Florida Career College-Miami,9500,5818
768,Florida Southern College,25000,2379
769,Florida State University,21000,32086
772,University of Florida,15132.5,32346
773,Everest University-Pompano Beach,9500,1746
775,Full Sail University,30843,18880
778,Gulf Coast State College,6985,3643
781,Hobe Sound Bible College,,194
784,Indian River State College,7750,13993
785,Intertiol Academy of Design and Technology-Tampa,29375,474
787,AI Miami Intertiol University of Art and Design,31535,3167
788,ITT Technical Institute-Tampa,25833.5,463
789,Jacksonville University,22334,3360
790,Jones College-Jacksonville,38291,445
791,Keiser University-Ft Lauderdale,27500,15788
801,Luther Rice University & Semiry,23361,510
802,State College of Florida-Matee-Sarasota,9750,9421
806,Trinity Intertiol University-Florida,28000.5,257
